day,profit,cycles
2019-10-21 00:00:00+02:00,25.316299133300777,0.0
2021-07-21 00:00:00+02:00,88.72247340653996,0.0
2019-04-12 00:00:00+02:00,21.408502082824704,0.0
2020-12-06 00:00:00+01:00,72.88713424426601,0.0
2020-10-11 00:00:00+02:00,54.061895935840234,0.0
2020-02-01 00:00:00+01:00,16.639999866485596,0.0
2019-04-13 00:00:00+02:00,5.409498977661137,0.0
2019-05-04 00:00:00+02:00,8.859100303649893,0.0
2020-10-01 00:00:00+02:00,55.71958398719521,0.0
2019-10-17 00:00:00+02:00,27.689998626708984,0.0
2021-04-30 00:00:00+02:00,68.95093793277076,0.0
2020-03-15 00:00:00+01:00,-5.923299864977598,0.0
2020-08-17 00:00:00+02:00,15.97339986801148,0.0
2020-09-21 00:00:00+02:00,207.0408722011979,0.0
2021-12-26 00:00:00+01:00,262.967865158531,0.0
2020-02-18 00:00:00+01:00,23.234299955368037,0.0
2020-08-24 00:00:00+02:00,25.990001678466797,0.0
2021-10-03 00:00:00+02:00,7.861200017929077,0.0
2020-09-04 00:00:00+02:00,42.58657986361755,0.0
2019-03-16 00:00:00+01:00,34.8266003370285,0.0
2020-05-21 00:00:00+02:00,0.5241000556945776,0.0
2021-01-22 00:00:00+01:00,199.3628969447156,0.0
2020-02-19 00:00:00+01:00,38.219794784048354,0.0
2020-06-20 00:00:00+02:00,1.9539989280700685,0.0
2021-10-23 00:00:00+02:00,305.1319731329981,0.0
2020-10-30 00:00:00+01:00,27.796000900268552,0.0
2020-12-12 00:00:00+01:00,16.218700103759755,0.0
2019-12-11 00:00:00+01:00,41.72750152230263,0.0
2019-11-19 00:00:00+01:00,17.700000762939453,0.0
2019-04-10 00:00:00+02:00,14.300799942016596,0.0
2020-11-07 00:00:00+01:00,4.427801284790043,0.0
2019-01-30 00:00:00+01:00,24.24199699401855,0.0
2019-12-18 00:00:00+01:00,18.1299991607666,0.0
2021-10-28 00:00:00+02:00,177.57223710747553,0.0
2021-09-16 00:00:00+02:00,239.67907288481803,0.0
2020-05-20 00:00:00+02:00,28.246000785827636,0.0
2021-11-28 00:00:00+01:00,188.20049067786215,0.0
2021-04-29 00:00:00+02:00,91.381212569547,0.0
2020-08-07 00:00:00+02:00,103.49126064535818,0.0
2021-08-25 00:00:00+02:00,52.06860441131977,0.0
2019-07-28 00:00:00+02:00,3.8550003051757855,0.0
2021-03-20 00:00:00+01:00,78.83332794440773,0.0
2019-07-08 00:00:00+02:00,47.036205326032686,0.0
2021-02-04 00:00:00+01:00,23.739899959564212,0.0
2019-11-06 00:00:00+01:00,84.64798159175305,0.0
2021-04-23 00:00:00+02:00,70.51306003572337,0.0
