,2021-04-27 00:00:00+02:00,2021-04-27 00:15:00+02:00,2021-04-27 00:30:00+02:00,2021-04-27 00:45:00+02:00,2021-04-27 01:00:00+02:00,2021-04-27 01:15:00+02:00,2021-04-27 01:30:00+02:00,2021-04-27 01:45:00+02:00,2021-04-27 02:00:00+02:00,2021-04-27 02:15:00+02:00,2021-04-27 02:30:00+02:00,2021-04-27 02:45:00+02:00,2021-04-27 03:00:00+02:00,2021-04-27 03:15:00+02:00,2021-04-27 03:30:00+02:00,2021-04-27 03:45:00+02:00,2021-04-27 04:00:00+02:00,2021-04-27 04:15:00+02:00,2021-04-27 04:30:00+02:00,2021-04-27 04:45:00+02:00,2021-04-27 05:00:00+02:00,2021-04-27 05:15:00+02:00,2021-04-27 05:30:00+02:00,2021-04-27 05:45:00+02:00,2021-04-27 06:00:00+02:00,2021-04-27 06:15:00+02:00,2021-04-27 06:30:00+02:00,2021-04-27 06:45:00+02:00,2021-04-27 07:00:00+02:00,2021-04-27 07:15:00+02:00,2021-04-27 07:30:00+02:00,2021-04-27 07:45:00+02:00,2021-04-27 08:00:00+02:00,2021-04-27 08:15:00+02:00,2021-04-27 08:30:00+02:00,2021-04-27 08:45:00+02:00,2021-04-27 09:00:00+02:00,2021-04-27 09:15:00+02:00,2021-04-27 09:30:00+02:00,2021-04-27 09:45:00+02:00,2021-04-27 10:00:00+02:00,2021-04-27 10:15:00+02:00,2021-04-27 10:30:00+02:00,2021-04-27 10:45:00+02:00,2021-04-27 11:00:00+02:00,2021-04-27 11:15:00+02:00,2021-04-27 11:30:00+02:00,2021-04-27 11:45:00+02:00,2021-04-27 12:00:00+02:00,2021-04-27 12:15:00+02:00,2021-04-27 12:30:00+02:00,2021-04-27 12:45:00+02:00,2021-04-27 13:00:00+02:00,2021-04-27 13:15:00+02:00,2021-04-27 13:30:00+02:00,2021-04-27 13:45:00+02:00,2021-04-27 14:00:00+02:00,2021-04-27 14:15:00+02:00,2021-04-27 14:30:00+02:00,2021-04-27 14:45:00+02:00,2021-04-27 15:00:00+02:00,2021-04-27 15:15:00+02:00,2021-04-27 15:30:00+02:00,2021-04-27 15:45:00+02:00,2021-04-27 16:00:00+02:00,2021-04-27 16:15:00+02:00,2021-04-27 16:30:00+02:00,2021-04-27 16:45:00+02:00,2021-04-27 17:00:00+02:00,2021-04-27 17:15:00+02:00,2021-04-27 17:30:00+02:00,2021-04-27 17:45:00+02:00,2021-04-27 18:00:00+02:00,2021-04-27 18:15:00+02:00,2021-04-27 18:30:00+02:00,2021-04-27 18:45:00+02:00,2021-04-27 19:00:00+02:00,2021-04-27 19:15:00+02:00,2021-04-27 19:30:00+02:00,2021-04-27 19:45:00+02:00,2021-04-27 20:00:00+02:00,2021-04-27 20:15:00+02:00,2021-04-27 20:30:00+02:00,2021-04-27 20:45:00+02:00,2021-04-27 21:00:00+02:00,2021-04-27 21:15:00+02:00,2021-04-27 21:30:00+02:00,2021-04-27 21:45:00+02:00,2021-04-27 22:00:00+02:00,2021-04-27 22:15:00+02:00,2021-04-27 22:30:00+02:00,2021-04-27 22:45:00+02:00,2021-04-27 23:00:00+02:00,2021-04-27 23:15:00+02:00,2021-04-27 23:30:00+02:00,2021-04-27 23:45:00+02:00
2021-04-26 23:15:00+02:00,69.159240797546,61.45085761865112,45.372393385552655,42.900435406698556,59.451480206540445,61.01708920187791,48.903468208092484,50.98270207852194,50.21122222222223,49.85082568807339,,,51.958043478260876,,,,,51.93279411764706,,,47.85813236627381,50.9688996763754,62.336364846870836,70.05112737920938,56.61627218934912,,,,,,,,,,68.8644,53.73891472868217,,,48.60962962962963,40.70854430379748,68.44126315789474,54.72210526315789,,,54.241333333333344,,,,,,,,56.87440860215054,54.75398550724638,,,31.372363636363637,,,53.204516129032264,26.459999999999997,39.405540540540535,54.20382978723405,56.684666666666665,25.979999999999997,,,,31.6,,,,43.7702487562189,,,,,,,,,,,,,,,,,,,,,,,
2021-04-26 23:30:00+02:00,65.78758726899383,65.62719140429786,54.130627680311896,44.89360882572924,57.2846052631579,58.836034482758606,50.478316708229436,50.469570552147246,50.07882521489972,50.12208643815202,56.690648648648654,63.10175824175825,52.15789808917197,53.37571428571429,57.21333333333334,,52.29709198813055,,,,,,,,55.61552058111379,75.15651162790698,,,,,,,,,,,,,48.42889518413598,,,,,,,,,,,,,37.31303030303031,,,,,,38.77281250000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.77325842696629,
2021-04-26 23:45:00+02:00,59.41499306518725,57.57085040983607,48.79339977851605,43.99343565525384,49.02837010885555,57.429753008233064,55.007800322061186,51.63329479768786,51.963576763485484,52.472937062937056,52.53716129032258,62.421227621483375,51.644262295081965,,56.264,,,,,,,,,,,,,,,,,,,,,,,,,,,55.13462686567165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.98528735632183,,,,,,,,,,,,,,,,,,,
2021-04-27 00:00:00+02:00,52.468458417849895,58.0141009174312,43.633011869436196,40.62047505938242,45.54130987581313,56.13644604316546,56.423519958527734,50.61962692619627,51.654925864909394,52.99669064748201,53.20628205128206,59.122134831460656,51.21057971014493,,,,51.44161290322581,,59.46305220883535,,,,,,53.42237785016287,71.35880299251869,85.43559055118111,,,,,,103.16676616915424,84.25265306122449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-27 00:15:00+02:00,,41.461453362255966,45.90922885572139,40.35318652849741,46.567867867867875,50.75634645669291,47.83452830188679,49.74099195710456,51.97865191146881,52.28293203883496,52.72369369369369,60.336621761658016,51.22387096774194,50.418273381294966,55.94129310344827,58.96102040816327,,49.74041791044777,58.26210084033612,59.75918735891648,45.577801608579094,51.34283653846154,63.80645161290324,69.72279069767443,50.684008528784645,69.60188034188036,84.85409090909091,110.58027593818986,,,,,101.0706896551724,,,,,,,,66.67868852459016,54.06341463414634,41.164577114427864,33.83951219512195,,,,,,,,,,,36.45745098039217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.15615384615384,62.68423076923076,53.45666666666668,51.01305555555555,
2021-04-27 00:30:00+02:00,,,41.30779296874999,34.524361054766736,45.96861578266494,53.30005671077504,44.97259259259259,47.26525547445256,50.302710997442446,51.635714285714286,52.177014925373136,60.536139705882356,49.80224719101123,49.19876712328767,53.205849056603775,,,,,,,50.13609374999999,,,49.72177083333333,,,,,,,,,,70.07718750000001,54.729329896907224,,70.16574468085105,,,,,41.30482517482517,,52.05813953488372,50.09757575757577,43.460125786163516,41.22851301115242,,51.13515151515151,,36.71747826086956,,,,29.119310344827582,,,49.693306451612905,,,,,58.19564705882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-27 00:45:00+02:00,,,,31.595466482377326,41.04534400000001,48.778368740515944,51.968953229398664,44.86678138942001,49.243235294117646,50.764603580562664,54.75528368794326,61.34280898876405,51.10847328244275,,51.194007092198575,57.29119680851064,,,,,44.14326923076923,,,,49.03677419354839,,,110.62191176470587,,,77.7908064516129,75.91515151515152,100.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.559999999999995,,,,,62.6102197802198,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-27 01:00:00+02:00,,,,,35.18032573289902,47.45648737650934,43.79994256541162,45.05090909090908,45.93635585156993,48.35769369369369,51.574331140350886,56.97024822695034,51.08410290237467,48.990941176470585,49.9789667896679,55.39029368575625,48.250431654676255,46.28474747474747,56.53409356725145,58.66162219850588,42.92628571428572,48.085519287833826,62.586330935251794,65.98716666666667,48.743397129186604,66.14639344262295,83.92439024390245,104.87561904761904,77.47924901185772,90.51736418511065,76.4174458874459,72.91184135977338,,,68.92694444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.715686274509814,63.1462962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-27 01:15:00+02:00,,,,,,38.25420420420421,42.53501611170783,41.05064777327935,41.73974037600716,43.95313285948606,46.379437105112004,55.54314598540146,51.39821339950371,46.258490566037736,49.774373522458625,53.68138949671772,44.84399253731343,44.85017341040462,55.17978947368421,,41.50997058823529,45.863743016759784,60.565316455696205,64.3879518072289,49.012012987012994,64.17765133171913,80.88299465240642,97.40446064139941,,,,,,,69.95521126760562,,,,,43.65221411192214,69.42861990950226,54.923582089552234,39.46936416184971,30.71030769230769,51.34266666666667,,,41.47426470588236,,,,,,,,,,,47.995849056603774,,,,,,,,,,,,,,,,,,,,,,104.72134920634923,,64.75992307692307,,,,54.64940000000001,35.01019677996422,,,,44.90882352941176,,,,
2021-04-27 01:30:00+02:00,,,,,,,33.76348470806302,38.57609057301294,42.55501769563508,42.251703800786366,42.651270815074504,45.75201699716714,49.94017467248908,44.07371364653245,48.09980629539952,53.103199152542366,42.656688034188036,41.90330762639246,53.086132478632486,57.7650276243094,40.61179385530228,43.79860244233378,57.1360125588697,63.11099999999999,47.54170854271357,63.85968253968254,77.27515789473685,95.9372340425532,,,,,,,67.17600858369099,55.16103896103896,,,47.480218978102194,,65.8006,56.344166666666666,,,,,,,47.44912280701754,,,,,,,,,,47.100235294117645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.50000000000001,50.14,
