,2019-03-31 00:00:00+01:00,2019-03-31 00:15:00+01:00,2019-03-31 00:30:00+01:00,2019-03-31 00:45:00+01:00,2019-03-31 01:00:00+01:00,2019-03-31 01:15:00+01:00,2019-03-31 01:30:00+01:00,2019-03-31 01:45:00+01:00,2019-03-31 03:00:00+02:00,2019-03-31 03:15:00+02:00,2019-03-31 03:30:00+02:00,2019-03-31 03:45:00+02:00,2019-03-31 04:00:00+02:00,2019-03-31 04:15:00+02:00,2019-03-31 04:30:00+02:00,2019-03-31 04:45:00+02:00,2019-03-31 05:00:00+02:00,2019-03-31 05:15:00+02:00,2019-03-31 05:30:00+02:00,2019-03-31 05:45:00+02:00,2019-03-31 06:00:00+02:00,2019-03-31 06:15:00+02:00,2019-03-31 06:30:00+02:00,2019-03-31 06:45:00+02:00,2019-03-31 07:00:00+02:00,2019-03-31 07:15:00+02:00,2019-03-31 07:30:00+02:00,2019-03-31 07:45:00+02:00,2019-03-31 08:00:00+02:00,2019-03-31 08:15:00+02:00,2019-03-31 08:30:00+02:00,2019-03-31 08:45:00+02:00,2019-03-31 09:00:00+02:00,2019-03-31 09:15:00+02:00,2019-03-31 09:30:00+02:00,2019-03-31 09:45:00+02:00,2019-03-31 10:00:00+02:00,2019-03-31 10:15:00+02:00,2019-03-31 10:30:00+02:00,2019-03-31 10:45:00+02:00,2019-03-31 11:00:00+02:00,2019-03-31 11:15:00+02:00,2019-03-31 11:30:00+02:00,2019-03-31 11:45:00+02:00,2019-03-31 12:00:00+02:00,2019-03-31 12:15:00+02:00,2019-03-31 12:30:00+02:00,2019-03-31 12:45:00+02:00,2019-03-31 13:00:00+02:00,2019-03-31 13:15:00+02:00,2019-03-31 13:30:00+02:00,2019-03-31 13:45:00+02:00,2019-03-31 14:00:00+02:00,2019-03-31 14:15:00+02:00,2019-03-31 14:30:00+02:00,2019-03-31 14:45:00+02:00,2019-03-31 15:00:00+02:00,2019-03-31 15:15:00+02:00,2019-03-31 15:30:00+02:00,2019-03-31 15:45:00+02:00,2019-03-31 16:00:00+02:00,2019-03-31 16:15:00+02:00,2019-03-31 16:30:00+02:00,2019-03-31 16:45:00+02:00,2019-03-31 17:00:00+02:00,2019-03-31 17:15:00+02:00,2019-03-31 17:30:00+02:00,2019-03-31 17:45:00+02:00,2019-03-31 18:00:00+02:00,2019-03-31 18:15:00+02:00,2019-03-31 18:30:00+02:00,2019-03-31 18:45:00+02:00,2019-03-31 19:00:00+02:00,2019-03-31 19:15:00+02:00,2019-03-31 19:30:00+02:00,2019-03-31 19:45:00+02:00,2019-03-31 20:00:00+02:00,2019-03-31 20:15:00+02:00,2019-03-31 20:30:00+02:00,2019-03-31 20:45:00+02:00,2019-03-31 21:00:00+02:00,2019-03-31 21:15:00+02:00,2019-03-31 21:30:00+02:00,2019-03-31 21:45:00+02:00,2019-03-31 22:00:00+02:00,2019-03-31 22:15:00+02:00,2019-03-31 22:30:00+02:00,2019-03-31 22:45:00+02:00,2019-03-31 23:00:00+02:00,2019-03-31 23:15:00+02:00,2019-03-31 23:30:00+02:00,2019-03-31 23:45:00+02:00
2019-03-31 00:45:00+01:00,,48.29450800915331,19.396120401337793,16.211818181818185,30.42074626865672,24.545,,36.08435897435897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31 01:00:00+01:00,,59.357840375586854,21.813472222222224,21.113917050691246,31.148245614035087,30.5743648208469,20.18572383073497,40.183573487031694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31 01:15:00+01:00,,31.905183673469384,40.05217078189301,26.5237505752416,39.40070556309362,,20.967142857142857,36.66636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31 01:30:00+01:00,,,39.647153846153856,31.7181954887218,41.05978701825558,32.238082191780826,20.71893395133256,31.967830769230773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31 01:45:00+01:00,,,,33.67158940397351,49.99510135135135,34.31276353276353,24.899331306990884,30.652603305785124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31 03:00:00+02:00,,,,,45.8110576923077,28.06270939548434,17.592541806020066,23.375864055299544,,29.21607142857143,36.75259615384614,41.14078740157481,15.452972972972972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31 03:15:00+02:00,,,,,,,9.701916902738434,25.55758996728462,11.724600938967134,,,,,,,,,,,,24.732773109243695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31 03:30:00+02:00,,,,,,,10.658733333333334,,9.362422586520948,21.50311669128508,37.31938416422287,41.366522911051206,,,,43.75028497409327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,47.0,,,
2019-03-31 03:45:00+02:00,,,,,,,,-35.04613989637305,3.8607136563876656,11.413363957597175,27.405826996197717,41.0722528363047,16.77218487394958,15.115765550239233,30.069457013574663,46.08380165289256,13.4251832460733,31.02268493150684,29.057142857142857,32.08528795811518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.00000000000001,20.740724637681158,20.195215686274516,18.332075471698115
2019-03-31 04:00:00+02:00,,,,,,,,,,,21.56908023483366,40.279886578449904,15.184174553101995,15.072340672074162,26.43668169522092,46.66729225023343,11.203818181818182,,30.08883561643836,,20.772008368200837,24.029670781893007,28.330779816513765,29.755740740740737,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
