iter	Passed	Remaining
789	54886	84066
790	54957	83999
791	55028	83932
792	55098	83863
793	55180	83812
794	55260	83759
795	55345	83713
796	55421	83653
797	55493	83587
798	55570	83529
799	55640	83461
800	55711	83393
801	55782	83325
802	55852	83257
803	55927	83196
804	56000	83131
805	56070	83062
806	56142	82995
807	56213	82928
808	56284	82861
809	56355	82793
810	56430	82731
811	56502	82665
812	56574	82600
813	56644	82531
814	56715	82463
815	56790	82401
816	56860	82332
817	56932	82266
818	57005	82202
819	57078	82137
820	57151	82072
821	57242	82032
822	57313	81965
823	57383	81896
824	57455	81830
825	57533	81772
826	57603	81703
827	57675	81636
828	57745	81568
829	57816	81499
830	57888	81434
831	57959	81365
832	58036	81307
833	58108	81240
834	58179	81173
835	58249	81103
836	58320	81034
837	58390	80966
838	58460	80897
839	58534	80833
840	58609	80771
841	58679	80701
842	58749	80632
843	58820	80564
844	58891	80496
845	58961	80427
846	59033	80361
847	59109	80299
848	59182	80233
849	59254	80168
850	59329	80105
851	59399	80036
852	59470	79967
853	59542	79900
854	59615	79836
855	59690	79772
856	59761	79705
857	59836	79642
858	59907	79573
859	59978	79506
860	60052	79442
861	60131	79384
862	60209	79325
863	60279	79257
864	60351	79189
865	60420	79118
866	60492	79052
867	60564	78984
868	60635	78916
869	60710	78853
870	60782	78786
871	60852	78717
872	60923	78648
873	60994	78581
874	61067	78515
875	61139	78447
876	61215	78386
877	61292	78326
878	61363	78257
879	61435	78190
880	61506	78122
881	61578	78054
882	61649	77986
883	61722	77920
884	61798	77859
885	61869	77790
886	61942	77725
887	62019	77664
888	62091	77597
889	62162	77528
890	62233	77459
891	62311	77400
892	62384	77334
893	62456	77267
894	62527	77199
895	62598	77130
896	62669	77061
897	62741	76994
898	62814	76928
899	62892	76868
900	62964	76801
901	63034	76731
902	63111	76670
903	63183	76603
904	63256	76536
905	63328	76469
906	63406	76409
907	63477	76340
908	63548	76272
909	63619	76203
910	63692	76136
911	63764	76069
912	63834	76000
913	63911	75938
914	63980	75867
915	64051	75798
916	64122	75729
917	64192	75659
918	64263	75592
919	64334	75522
920	64410	75460
921	64488	75399
922	64558	75330
923	64629	75261
924	64702	75195
925	64774	75127
926	64845	75058
927	64919	74992
928	64994	74929
929	65066	74861
930	65137	74792
931	65207	74722
932	65278	74653
933	65349	74585
934	65420	74516
935	65495	74451
936	65567	74384
937	65639	74317
938	65711	74249
939	65781	74179
940	65851	74108
941	65922	74040
942	65995	73974
943	66070	73909
944	66143	73842
945	66214	73773
946	66287	73706
947	66358	73638
948	66429	73569
949	66505	73505
950	66582	73443
951	66654	73375
952	66725	73306
953	66796	73237
954	66867	73169
955	66940	73102
956	67010	73031
957	67086	72969
958	67159	72902
959	67232	72834
960	67305	72767
961	67376	72699
962	67449	72632
963	67521	72564
964	67596	72499
965	67670	72433
966	67742	72366
967	67814	72297
968	67884	72227
969	67956	72160
970	68028	72091
971	68099	72023
972	68177	71961
973	68251	71895
974	68322	71826
975	68393	71756
976	68465	71688
977	68537	71621
978	68609	71552
979	68683	71487
980	68759	71422
981	68831	71354
982	68902	71285
983	68975	71218
984	69047	71150
985	69119	71082
986	69194	71017
987	69267	70950
988	69339	70881
989	69409	70812
990	69481	70743
991	69553	70675
992	69625	70607
993	69696	70537
994	69772	70473
995	69843	70404
996	69914	70335
997	69986	70267
998	70061	70202
999	70135	70135
1000	70206	70066
1001	70281	70001
1002	70354	69933
1003	70424	69862
1004	70497	69796
1005	70568	69726
1006	70639	69657
1007	70712	69590
1008	70794	69531
1009	70868	69464
1010	70939	69395
1011	71009	69325
1012	71081	69257
1013	71152	69188
1014	71224	69118
1015	71293	69048
1016	71371	68985
1017	71441	68914
1018	71510	68844
1019	71582	68774
1020	71651	68704
1021	71722	68634
1022	71794	68566
1023	71872	68503
1024	71946	68436
1025	72019	68369
1026	72090	68299
1027	72162	68231
1028	72234	68162
1029	72306	68094
1030	72380	68027
1031	72454	67960
1032	72525	67891
1033	72597	67823
1034	72668	67753
1035	72739	67684
1036	72811	67615
1037	72882	67546
1038	72960	67483
1039	73030	67412
1040	73101	67343
1041	73172	67273
1042	73243	67204
1043	73314	67135
1044	73386	67066
1045	73462	67001
1046	73535	66933
1047	73606	66863
1048	73677	66794
1049	73754	66730
1050	73826	66661
1051	73897	66591
1052	73969	66523
1053	74046	66459
1054	74117	66389
1055	74192	66323
1056	74264	66254
1057	74335	66185
1058	74408	66117
1059	74480	66049
1060	74560	65987
1061	74634	65920
1062	74706	65851
1063	74780	65784
1064	74853	65716
1065	74925	65647
1066	74997	65579
1067	75073	65513
1068	75145	65445
1069	75216	65375
1070	75288	65306
1071	75362	65239
1072	75435	65171
1073	75507	65102
1074	75581	65034
1075	75654	64967
1076	75727	64899
1077	75799	64830
1078	75869	64759
1079	75941	64691
1080	76014	64622
1081	76084	64552
1082	76166	64491
1083	76239	64424
1084	76313	64356
1085	76384	64286
1086	76454	64216
1087	76526	64146
1088	76597	64077
1089	76672	64010
1090	76745	63942
1091	76816	63872
1092	76886	63802
1093	76959	63733
1094	77031	63665
1095	77103	63596
1096	77177	63529
1097	77252	63462
1098	77324	63393
1099	77394	63322
1100	77467	63254
1101	77538	63184
1102	77609	63115
1103	77679	63044
1104	77760	62982
1105	77833	62914
1106	77906	62845
1107	77976	62775
1108	78050	62707
1109	78120	62637
1110	78191	62567
1111	78269	62502
1112	78343	62435
1113	78414	62365
1114	78486	62296
1115	78560	62229
1116	78630	62158
1117	78701	62088
1118	78776	62021
1119	78850	61953
1120	78922	61884
1121	78993	61815
1122	79065	61745
1123	79138	61677
1124	79215	61612
1125	79286	61542
1126	79365	61478
